model,checkpoint,arc_challenge_acc_none,arc_challenge_acc_norm_none,gsm8k_exact_match_strict-match,gsm8k_exact_match_flexible-extract,hellaswag_acc_none,hellaswag_acc_norm_none,mmlu_acc_none,mmlu_humanities_acc_none,mmlu_formal_logic_acc_none,mmlu_high_school_european_history_acc_none,mmlu_high_school_us_history_acc_none,mmlu_high_school_world_history_acc_none,mmlu_international_law_acc_none,mmlu_jurisprudence_acc_none,mmlu_logical_fallacies_acc_none,mmlu_moral_disputes_acc_none,mmlu_moral_scenarios_acc_none,mmlu_philosophy_acc_none,mmlu_prehistory_acc_none,mmlu_professional_law_acc_none,mmlu_world_religions_acc_none,mmlu_other_acc_none,mmlu_business_ethics_acc_none,mmlu_clinical_knowledge_acc_none,mmlu_college_medicine_acc_none,mmlu_global_facts_acc_none,mmlu_human_aging_acc_none,mmlu_management_acc_none,mmlu_marketing_acc_none,mmlu_medical_genetics_acc_none,mmlu_miscellaneous_acc_none,mmlu_nutrition_acc_none,mmlu_professional_accounting_acc_none,mmlu_professional_medicine_acc_none,mmlu_virology_acc_none,mmlu_social_sciences_acc_none,mmlu_econometrics_acc_none,mmlu_high_school_geography_acc_none,mmlu_high_school_government_and_politics_acc_none,mmlu_high_school_macroeconomics_acc_none,mmlu_high_school_microeconomics_acc_none,mmlu_high_school_psychology_acc_none,mmlu_human_sexuality_acc_none,mmlu_professional_psychology_acc_none,mmlu_public_relations_acc_none,mmlu_security_studies_acc_none,mmlu_sociology_acc_none,mmlu_us_foreign_policy_acc_none,mmlu_stem_acc_none,mmlu_abstract_algebra_acc_none,mmlu_anatomy_acc_none,mmlu_astronomy_acc_none,mmlu_college_biology_acc_none,mmlu_college_chemistry_acc_none,mmlu_college_computer_science_acc_none,mmlu_college_mathematics_acc_none,mmlu_college_physics_acc_none,mmlu_computer_security_acc_none,mmlu_conceptual_physics_acc_none,mmlu_electrical_engineering_acc_none,mmlu_elementary_mathematics_acc_none,mmlu_high_school_biology_acc_none,mmlu_high_school_chemistry_acc_none,mmlu_high_school_computer_science_acc_none,mmlu_high_school_mathematics_acc_none,mmlu_high_school_physics_acc_none,mmlu_high_school_statistics_acc_none,mmlu_machine_learning_acc_none,truthfulqa_mc1_acc_none,winogrande_acc_none,xwinograd_acc_none,xwinograd_en_acc_none,xwinograd_fr_acc_none,xwinograd_jp_acc_none,xwinograd_pt_acc_none,xwinograd_ru_acc_none,xwinograd_zh_acc_none
OLMo-1B-0724-hf,step5000-tokens10B,0.1962457337883959,0.23378839590443687,0.002274450341167551,0.014404852160727824,0.2819159529974109,0.2951603266281617,0.2435550491382994,0.25696068012752393,0.23809523809523808,0.2909090909090909,0.29901960784313725,0.22362869198312235,0.2396694214876033,0.23148148148148148,0.3006134969325153,0.29190751445086704,0.23687150837988827,0.19935691318327975,0.24691358024691357,0.2685788787483703,0.27485380116959063,0.251689732861281,0.28,0.19622641509433963,0.2254335260115607,0.27,0.2600896860986547,0.21359223300970873,0.3076923076923077,0.26,0.2554278416347382,0.22549019607843138,0.2695035460992908,0.24632352941176472,0.27710843373493976,0.22944426389340267,0.24561403508771928,0.22727272727272727,0.22279792746113988,0.23076923076923078,0.23949579831932774,0.23302752293577983,0.1984732824427481,0.2630718954248366,0.18181818181818182,0.1510204081632653,0.24378109452736318,0.23,0.22930542340627974,0.18,0.2518518518518518,0.17105263157894737,0.1875,0.24,0.24,0.22,0.23529411764705882,0.32,0.2553191489361702,0.23448275862068965,0.21164021164021163,0.2,0.21674876847290642,0.28,0.24444444444444444,0.2781456953642384,0.20833333333333334,0.2767857142857143,0.23378212974296206,0.5114443567482242,0.5279838165879973,0.5578494623655914,0.5421686746987951,0.5015641293013556,0.5019011406844106,0.5047619047619047,0.4662698412698413
pythia-410m-deduped,main,0.20648464163822525,0.2551194539249147,0.011372251705837756,0.02350265352539803,0.34495120493925513,0.4111730730930094,0.23301523999430282,0.24314558979808715,0.2619047619047619,0.21818181818181817,0.2549019607843137,0.270042194092827,0.2396694214876033,0.25925925925925924,0.22699386503067484,0.24855491329479767,0.23798882681564246,0.1864951768488746,0.20987654320987653,0.2503259452411995,0.32748538011695905,0.24589636305117477,0.3,0.22264150943396227,0.2254335260115607,0.2,0.3094170403587444,0.20388349514563106,0.2948717948717949,0.3,0.24393358876117496,0.24183006535947713,0.2375886524822695,0.18382352941176472,0.2710843373493976,0.2154696132596685,0.21929824561403508,0.16666666666666666,0.19689119170984457,0.2,0.21428571428571427,0.1963302752293578,0.2595419847328244,0.25,0.20909090909090908,0.1836734693877551,0.24378109452736318,0.27,0.2223279416428798,0.18,0.18518518518518517,0.19736842105263158,0.2638888888888889,0.15,0.26,0.19,0.28431372549019607,0.31,0.2680851063829787,0.2413793103448276,0.2275132275132275,0.18387096774193548,0.17733990147783252,0.24,0.22962962962962963,0.23178807947019867,0.17592592592592593,0.30357142857142855,0.23623011015911874,0.5351223362273086,0.6289053719937064,0.7126881720430107,0.5542168674698795,0.5318039624608968,0.532319391634981,0.5333333333333333,0.5496031746031746
Llama-3.2-1B,main,0.3122866894197952,0.36006825938566556,0.0712661106899166,0.07505686125852919,0.47689703246365267,0.6378211511651065,0.3661871528272326,0.34537725823591925,0.2619047619047619,0.47878787878787876,0.4411764705882353,0.42616033755274263,0.5289256198347108,0.48148148148148145,0.34355828220858897,0.36416184971098264,0.23798882681564246,0.42443729903536975,0.4351851851851852,0.2940026075619296,0.5087719298245614,0.407145156099131,0.34,0.3584905660377358,0.32947976878612717,0.31,0.42152466367713004,0.42718446601941745,0.5,0.45,0.47509578544061304,0.4215686274509804,0.2695035460992908,0.3860294117647059,0.39759036144578314,0.3997400064998375,0.23684210526315788,0.5050505050505051,0.45595854922279794,0.3076923076923077,0.29831932773109243,0.45137614678899085,0.48091603053435117,0.3545751633986928,0.36363636363636365,0.37551020408163266,0.5572139303482587,0.54,0.3241357437361243,0.25,0.4888888888888889,0.40131578947368424,0.375,0.29,0.38,0.29,0.2549019607843137,0.52,0.3574468085106383,0.4068965517241379,0.2566137566137566,0.4,0.28078817733990147,0.34,0.2222222222222222,0.2251655629139073,0.24074074074074073,0.36607142857142855,0.23623011015911874,0.5998421468034728,0.721735221398067,0.8129032258064516,0.6265060240963856,0.6068821689259646,0.6577946768060836,0.6031746031746031,0.6428571428571429
Qwen2.5-3B,main,0.4453924914675768,0.47013651877133106,0.6990144048521607,0.7573919636087946,0.5501892053375822,0.7369049990041824,0.6514741489816266,0.5666312433581296,0.48412698412698413,0.7636363636363637,0.8333333333333334,0.8227848101265823,0.8264462809917356,0.8333333333333334,0.7975460122699386,0.6763005780346821,0.2435754189944134,0.7106109324758842,0.7253086419753086,0.48565840938722293,0.8245614035087719,0.7135500482780818,0.73,0.7283018867924528,0.6647398843930635,0.36,0.7399103139013453,0.8155339805825242,0.8846153846153846,0.74,0.7982120051085568,0.7679738562091504,0.5177304964539007,0.6544117647058824,0.5180722891566265,0.7630809229769255,0.5175438596491229,0.7878787878787878,0.8601036269430051,0.6820512820512821,0.8025210084033614,0.8495412844036697,0.7557251908396947,0.7173202614379085,0.7,0.7306122448979592,0.8407960199004975,0.84,0.6079923882017126,0.5,0.6222222222222222,0.6907894736842105,0.7083333333333334,0.51,0.57,0.41,0.5392156862745098,0.77,0.6680851063829787,0.6275862068965518,0.5714285714285714,0.8096774193548387,0.5960591133004927,0.74,0.5222222222222223,0.41721854304635764,0.6018518518518519,0.45535714285714285,0.3182374541003672,0.6787687450670876,0.7986064284108788,0.8559139784946237,0.7108433734939759,0.708029197080292,0.7490494296577946,0.6984126984126984,0.8095238095238095
OLMo-1B-0724-hf,step954000-tokens2000B,0.30204778156996587,0.318259385665529,0.012130401819560273,0.016679302501895376,0.46574387572196774,0.6274646484763992,0.24711579547073068,0.24867162592986186,0.23809523809523808,0.21818181818181817,0.23529411764705882,0.350210970464135,0.24793388429752067,0.3148148148148148,0.2331288343558282,0.2658959537572254,0.2435754189944134,0.17684887459807075,0.2345679012345679,0.24185136897001303,0.34502923976608185,0.2539427100096556,0.26,0.19245283018867926,0.2138728323699422,0.31,0.35874439461883406,0.23300970873786409,0.2606837606837607,0.32,0.2554278416347382,0.21241830065359477,0.2695035460992908,0.21691176470588236,0.28313253012048195,0.23594410139746505,0.2894736842105263,0.18181818181818182,0.20725388601036268,0.23076923076923078,0.24369747899159663,0.23669724770642203,0.2748091603053435,0.24183006535947713,0.3,0.19183673469387755,0.24378109452736318,0.27,0.24896923564858864,0.31,0.26666666666666666,0.28289473684210525,0.22916666666666666,0.21,0.24,0.24,0.2647058823529412,0.31,0.24680851063829787,0.2620689655172414,0.26455026455026454,0.2032258064516129,0.19704433497536947,0.32,0.23703703703703705,0.2781456953642384,0.2175925925925926,0.2767857142857143,0.22643818849449204,0.5982636148382005,0.697010564171724,0.8189247311827957,0.5903614457831325,0.5318039624608968,0.5703422053231939,0.5428571428571428,0.628968253968254
gemma-2-9b,main,0.613481228668942,0.6561433447098977,0.6990144048521607,0.6990144048521607,0.6109340768771161,0.7986456881099383,0.6914257228315055,0.6059511158342189,0.4603174603174603,0.7757575757575758,0.8676470588235294,0.8523206751054853,0.8347107438016529,0.8148148148148148,0.8282208588957055,0.7398843930635838,0.29720670391061454,0.7331189710610932,0.7746913580246914,0.5319426336375489,0.847953216374269,0.7502413904087544,0.68,0.769811320754717,0.6763005780346821,0.5,0.7713004484304933,0.7961165048543689,0.9017094017094017,0.82,0.8505747126436781,0.7549019607843137,0.5354609929078015,0.7830882352941176,0.5060240963855421,0.812804679883003,0.5614035087719298,0.8787878787878788,0.9326424870466321,0.764102564102564,0.819327731092437,0.9064220183486239,0.7938931297709924,0.7450980392156863,0.7636363636363637,0.7591836734693878,0.8706467661691543,0.91,0.6425626387567396,0.42,0.7037037037037037,0.75,0.8680555555555556,0.56,0.51,0.45,0.5196078431372549,0.75,0.6936170212765957,0.7034482758620689,0.5873015873015873,0.8903225806451613,0.6600985221674877,0.76,0.44814814814814813,0.5496688741721855,0.6574074074074074,0.45535714285714285,0.29865361077111385,0.7419100236779794,0.8428860418071477,0.8946236559139785,0.7469879518072289,0.7966631908237748,0.8288973384030418,0.7428571428571429,0.7777777777777778
Qwen2.5-7B,main,0.47952218430034127,0.5110921501706485,0.8134950720242609,0.8180439727065959,0.60017924716192,0.7891854212308305,0.7182737501780373,0.6282678002125398,0.5555555555555556,0.8363636363636363,0.8676470588235294,0.8734177215189873,0.8512396694214877,0.8333333333333334,0.8220858895705522,0.8034682080924855,0.3039106145251397,0.7845659163987139,0.8364197530864198,0.5378096479791395,0.8596491228070176,0.7669777920823946,0.75,0.769811320754717,0.6936416184971098,0.43,0.7713004484304933,0.8932038834951457,0.9316239316239316,0.86,0.8582375478927203,0.8006535947712419,0.549645390070922,0.7830882352941176,0.5301204819277109,0.8248293792655184,0.6228070175438597,0.8838383838383839,0.9378238341968912,0.782051282051282,0.8907563025210085,0.8917431192660551,0.816793893129771,0.7777777777777778,0.6818181818181818,0.7755102040816326,0.8507462686567164,0.89,0.7006026006977482,0.52,0.7111111111111111,0.8421052631578947,0.8263888888888888,0.55,0.7,0.53,0.49019607843137253,0.84,0.7404255319148936,0.7103448275862069,0.7275132275132276,0.8709677419354839,0.6650246305418719,0.85,0.562962962962963,0.5827814569536424,0.6851851851851852,0.6428571428571429,0.39167686658506734,0.7269139700078927,0.8136659923578332,0.8683870967741936,0.7349397590361446,0.7413972888425443,0.8060836501901141,0.6952380952380952,0.7896825396825397
Qwen2.5-0.5B,main,0.2901023890784983,0.3250853242320819,0.33965125094768767,0.34723275208491283,0.4053973312089225,0.5214100776737701,0.4738641219199544,0.4201912858660999,0.3412698412698413,0.6,0.5245098039215687,0.5907172995780591,0.7107438016528925,0.6018518518518519,0.50920245398773,0.523121387283237,0.23798882681564246,0.4983922829581994,0.5185185185185185,0.34810951760104303,0.6023391812865497,0.5291277759897006,0.51,0.5471698113207547,0.48554913294797686,0.32,0.5291479820627802,0.6116504854368932,0.7564102564102564,0.53,0.5530012771392082,0.6176470588235294,0.3723404255319149,0.43014705882352944,0.463855421686747,0.5586610334741632,0.35964912280701755,0.5858585858585859,0.5544041450777202,0.4846153846153846,0.5210084033613446,0.6513761467889908,0.5572519083969466,0.4624183006535948,0.6090909090909091,0.6163265306122448,0.681592039800995,0.76,0.4167459562321599,0.33,0.4148148148148148,0.4868421052631579,0.4722222222222222,0.36,0.31,0.3,0.2549019607843137,0.71,0.4085106382978723,0.5517241379310345,0.37037037037037035,0.5258064516129032,0.4630541871921182,0.5,0.34814814814814815,0.304635761589404,0.36574074074074076,0.41964285714285715,0.2582619339045288,0.5674822415153907,0.6765565295572039,0.749247311827957,0.6024096385542169,0.5651720542231491,0.6083650190114068,0.5650793650793651,0.6706349206349206
pythia-6.9b-deduped,main,0.3310580204778157,0.35238907849829354,0.016679302501895376,0.024260803639120546,0.4958175662218682,0.658832901812388,0.26613018088591367,0.2558979808714134,0.2619047619047619,0.22424242424242424,0.24019607843137256,0.2911392405063291,0.23140495867768596,0.24074074074074073,0.22699386503067484,0.2514450867052023,0.26033519553072626,0.2797427652733119,0.25925925925925924,0.258148631029987,0.2222222222222222,0.2729320888316704,0.28,0.2528301886792453,0.24277456647398843,0.29,0.3452914798206278,0.34951456310679613,0.2564102564102564,0.3,0.2515964240102171,0.26143790849673204,0.22695035460992907,0.33455882352941174,0.28313253012048195,0.26259343516412087,0.20175438596491227,0.23232323232323232,0.24352331606217617,0.33076923076923076,0.3319327731092437,0.26788990825688075,0.20610687022900764,0.24509803921568626,0.2818181818181818,0.23265306122448978,0.21393034825870647,0.3,0.2781477957500793,0.3,0.28888888888888886,0.26973684210526316,0.2013888888888889,0.24,0.28,0.26,0.30392156862745096,0.25,0.3021276595744681,0.22758620689655173,0.30423280423280424,0.3096774193548387,0.2857142857142857,0.21,0.3074074074074074,0.23178807947019867,0.27314814814814814,0.29464285714285715,0.21664626682986537,0.6250986582478295,0.7309507754551584,0.8365591397849462,0.6867469879518072,0.5922836287799792,0.6425855513307985,0.5587301587301587,0.6686507936507936
OLMo-7B-0724-hf,step24000-tokens100B,0.2781569965870307,0.2858361774744027,0.009855951478392721,0.01819560272934041,0.41276638119896436,0.5365465046803426,0.25950719270759154,0.2592986184909671,0.16666666666666666,0.2909090909090909,0.23529411764705882,0.28270042194092826,0.2892561983471074,0.17592592592592593,0.26993865030674846,0.28901734104046245,0.24916201117318434,0.2604501607717042,0.2716049382716049,0.2588005215123859,0.28654970760233917,0.2346314773093016,0.29,0.2188679245283019,0.19653179190751446,0.27,0.2062780269058296,0.27184466019417475,0.23076923076923078,0.28,0.24648786717752236,0.24836601307189543,0.24468085106382978,0.21323529411764705,0.1746987951807229,0.27526811829704256,0.2631578947368421,0.3282828282828283,0.25906735751295334,0.3230769230769231,0.31512605042016806,0.26055045871559634,0.25190839694656486,0.25,0.18181818181818182,0.3551020408163265,0.22388059701492538,0.21,0.2689502061528703,0.26,0.3111111111111111,0.3223684210526316,0.2569444444444444,0.3,0.25,0.29,0.20588235294117646,0.27,0.25957446808510637,0.2413793103448276,0.2698412698412698,0.25161290322580643,0.29064039408866993,0.25,0.26666666666666666,0.2913907284768212,0.2777777777777778,0.23214285714285715,0.2215422276621787,0.5445935280189423,0.6293549112160036,0.7290322580645161,0.5060240963855421,0.4921793534932221,0.5133079847908745,0.4984126984126984,0.5932539682539683
